Name DE;Name;Cardtype;Type;Tera;HP;Evolves from DE;Evolves from;Ability DE;Ability;Ability text DE;Ability text;Attack 1 cost;Attack 1 name DE;Attack 1 name;Attack 1 damage;Effect Attack 1 DE;Effect Attack 1;Attack 2 cost;Attack 2 name DE;Attack 2 name;Attack 2 damage;Effect Attack 2 DE;Effect Attack 2;Weakness;Resistance;Retreat cost;Set;#;Regulation;Set Name;URL DE;URL
Evoli;Eevee;Basic;Colorless;;50;;;Mitreißende Entwicklung;Resonant Evolution;Einmal während deines Zuges, wenn du ein Pokémon aus deiner Hand spielst, um 1 deiner anderen Evoli zu entwickeln, kannst du dein Deck nach 1 Karte, die sich aus diesem Pokémon entwickelt, durchsuchen und sie auf dieses Pokémon legen, um es zu entwickeln. Mische anschließend dein Deck.;Once during your turn, when you play a Pokémon from your hand to evolve 1 of your other Eevee, you may search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.;CC;Tackle ;Tackle ;20;;;;;;;;;Fighting;;1;ASR;119;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_119_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_119_R_EN_LG.png
Hoothoot;Hoothoot;Basic;Colorless;;50;;;Wache stehen;Stand Sentry;An die Pokémon auf deiner Bank angelegte Basis-Energien können nicht durch einen Effekt von Item- oder Unterstützerkarten deines Gegners auf deinen Ablagestapel gelegt werden.;Basic Energy attached to your Benched Pokémon can't be discarded by an effect of your opponent's Item or Supporter cards.;CC;Flattern ;Flap ;20;;;;;;;;;Lightning;Fighting;1;ASR;120;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_120_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_120_R_EN_LG.png
Teddiursa;Teddiursa;Basic;Colorless;;70;;;;;;;C;Futter sammeln;Gather Food;;Wirf 1 Münze. Nimm bei Kopf 1 Itemkarte aus deinem Ablagestapel auf deine Hand.;Flip a coin. If heads, put an Item card from your discard pile into your hand.;CC;Schaufelkrallen ;Dig Claws ;20;;;Fighting;;2;ASR;122;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_122_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_122_R_EN_LG.png
Damhirplex;Stantler;Basic;Colorless;;100;;;;;;;CC;Schutzdruck ;Guard Press ;30;Während des nächsten Zuges deines Gegners werden diesem Pokémon durch Attacken 30 Schadenspunkte weniger zugefügt (nachdem Schwäche und Resistenz verrechnet wurden).;During your opponent's next turn, this Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance).;;;;;;;Fighting;;2;ASR;125;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_125_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_125_R_EN_LG.png
Miltank;Miltank;Basic;Colorless;;110;;;Wundersamer Körper;Miracle Body;Verhindere allen Schaden, der diesem Pokémon durch Attacken von Pokémon-V deines Gegners zugefügt wird.;Prevent all damage done to this Pokémon by attacks from your opponent's Pokémon V.;CC;Verheerung ;Rout ;10+;Diese Attacke fügt für jedes Pokémon auf der Bank deines Gegners 20 Schadenspunkte mehr zu.;This attack does 20 more damage for each of your opponent's Benched Pokémon.;;;;;;;Fighting;;2;ASR;126;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_126_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_126_R_EN_LG.png
Charmian;Glameow;Basic;Colorless;;60;;;;;;;CC;Mogelhieb ;Fake Out ;20;Wirf 1 Münze. Bei Kopf ist das Aktive Pokémon deines Gegners jetzt paralysiert.;Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.;;;;;;;Fighting;;1;ASR;127;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_127_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_127_R_EN_LG.png
Plaudagei;Chatot;Basic;Colorless;;70;;;;;;;C;Sammeln;Collect;;Ziehe 1 Karte.;Draw a card.;C;Plappertasche ;Jabber On ;30;Während des nächsten Zuges deines Gegners kann sich das Verteidigende Pokémon nicht zurückziehen.;During your opponent's next turn, the Defending Pokémon can't retreat.;Lightning;Fighting;1;ASR;129;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_129_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_129_R_EN_LG.png
Regigigas;Regigigas;Basic;Colorless;;150;;;Uralte Weisheit;Ancient Wisdom;Einmal während deines Zuges, wenn du Regirock, Regice, Registeel, Regieleki und Regidrago im Spiel hast, kannst du bis zu 3 Energiekarten aus deinem Ablagestapel an 1 deiner Pokémon anlegen.;Once during your turn, if you have Regirock, Regice, Registeel, Regieleki, and Regidrago in play, you may attach up to 3 Energy cards from your discard pile to 1 of your Pokémon.;CCCCC;Gigatonnen-Brecher ;Gigaton Break ;150+;Wenn das Aktive Pokémon deines Gegners ein Pokémon-VMAX ist, fügt diese Attacke 150 Schadenspunkte mehr zu.;If your opponent's Active Pokémon is a Pokémon VMAX, this attack does 150 more damage.;;;;;;;Fighting;;4;ASR;130;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_130_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_130_R_EN_LG.png
Geronimatz;Rufflet;Basic;Colorless;;70;;;;;;;C;Klaue ;Claw ;30;Wirf 1 Münze. Bei Zahl hat diese Attacke keine Auswirkungen.;Flip a coin. If tails, this attack does nothing.;;;;;;;Lightning;Fighting;1;ASR;131;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_131_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_131_R_EN_LG.png
Kommandutan V;Oranguru V;Basic;Colorless;;210;;;Nachbestellung;Back Order;Einmal während deines Zuges, wenn dieses Pokémon in der Aktiven Position ist, kannst du dein Deck nach bis zu 2 Pokémon-Ausrüstungen durchsuchen, sie deinem Gegner zeigen und auf deine Hand nehmen. Mische anschließend dein Deck.;Once during your turn, if this Pokémon is in the Active Spot, you may search your deck for up to 2 Pokémon Tool cards, reveal them, and put them into your hand. Then, shuffle your deck.;CCC;Psychokinese ;Psychic ;30+;Diese Attacke fügt für jede an das Aktive Pokémon deines Gegners angelegte Energie 50 Schadenspunkte mehr zu.;This attack does 50 more damage for each Energy attached to your opponent's Active Pokémon.;;;;;;;Fighting;;2;ASR;133;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_133_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_133_R_EN_LG.png
Damythir V;Wyrdeer V;Basic;Colorless;;220;;;Vorreiter;Frontier Road;Einmal während deines Zuges, wenn dieses Pokémon von deiner Bank in die Aktive Position wechselt, kannst du beliebig viele Energien von deinen anderen Pokémon auf dieses Pokémon verschieben.;Once during your turn, when this Pokémon moves from your Bench to the Active Spot, you may move any amount of Energy from your other Pokémon to it.;CCC;Barrierenstoß ;Psyshield Bash ;40×;Diese Attacke fügt für jede an dieses Pokémon angelegte Energie 40 Schadenspunkte zu.;This attack does 40 damage for each Energy attached to this Pokémon.;;;;;;;Fighting;;2;ASR;134;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_134_R_DE_LG.png;https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_134_R_EN_LG.png
