Name DE;Name;Cardtype;Type;HP;Evolves from;Ability;Ability text;Attack 1 cost;Attack 1 name;Attack 1 name EN;Attack 1 damage;Effect 1;Attack 2 cost;Attack 2 name;Attack 2 name EN;Attack 2 damage;Effect 2;Weakness;Resistance;Retreat cost;Set;#;Regulation;Set Name;URL
Bibor V;Beedrill V;Basis;Pflanze;210;;;;G;Duonadel ;Twineedle;40*;Wirf 2 Münzen. Diese Attacke fügt 40 Schadenspunkte pro Kopf zu.;GGC;Stachelschwarm;Swarming Sting;;Diese Attacke fügt für jedes deiner Bibor-V im Spiel 1 Pokemon deines Gegners 50 Schadenspunkte zu. (Wende Schwäche und Resistenz bei Pokemon auf der Bank nicht an.);Feuer;;1;ASR;1;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_001_R_DE_LG.png
Hisui Voltobal;Hisuian Voltorb;Basis;Pflanze;50;;;;0;Fröhlicher Ladevorgang;Cheerful Charge;;Du kannst diese Attacke nur einsetzen, wenn du als Zweiter am Zug bist, und nur während deines ersten Zuges. Wähle bis zu 2 Pokemon auf deiner Bank. Durchsuche für jedes jener Pokemon dein Deck nach 1 Basis-Energiekarte und lege sie an jenes Pokemon an. Mische anschließend dein Deck.;G;Ramme ;Ram;10;;Feuer;;1;ASR;2;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_002_R_DE_LG.png
Hisui-Lektrobal;Hisuian Electrode;Phase 1 - Entwickelt sich aus Hisui-Voltobal;Pflanze;90;;;;0;Dreifachzug;Triple Draw;;Ziehe 3 Karten.;0;Gereizte Bombe ;Irritated Bomb;50;;Feuer;;1;ASR;3;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_003_R_DE_LG.png
Sichlor;Scyther;Basis;Pflanze;90;;;;C;Blendende Sense ;Blinding Scythe;20;;;;;;;Feuer;;1;ASR;4;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_004_R_DE_LG.png
Sichlor;Scyther;Basis;Pflanze;80;;;;CC;Schnellschlag ;Quick Blow;30+;Wirf 1 Münze. Bei Kopf fügt diese Attacke 30 Schadenspunkte mehr zu.;;;;;;Feuer;;1;ASR;5;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_005_R_DE_LG.png
Yanma;Yanma;Basis;Pflanze;60;;;;G;Tempohechtsprung ;Speed Dive;20;;;;;;;Feuer;;0;ASR;6;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_006_R_DE_LG.png
Yanmega;Yanmega;Phase 1 - Entwickelt sich aus Yanma;Pflanze;120;;;;G;Rasierflügel ;Razor Wing;30;;CC;Breite Flügel ;Wide Wing;40+;Wenn du mehr Karten auf der Hand hast als dein Gegner, fügt diese Attacke 80 Schadenspunkte mehr zu.;Feuer;;0;ASR;7;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_007_R_DE_LG.png
Skaraborn;Heracross;Basis;Pflanze;110;;;;GC;Hornattacke ;Horn Attack;40;;GGC;Überwerfer ;Overhead Throw;120;Diese Attacke fügt auch 1 Pokemon auf deiner Bank 30 Schadenspunkte zu. (Wende Schwäche und Resistenz bei Pokemon auf der Bank nicht an.);Feuer;;2;ASR;8;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_008_R_DE_LG.png
Zirpurze;Kricketot;Basis;Pflanze;60;;;;G;Stolperer ;Trip Over;10+;Wirf 1 Münze. Bei Kopf fügt diese Attacke 20 Schadenspunkte mehr zu.;;;;;;Feuer;;1;ASR;9;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_009_R_DE_LG.png
Zirpeise;Kricketune;Phase 1 - Entwickelt sich aus Zirpurze;Pflanze;90;;Schwellender Gesang;Deine [G]-Pokemon im Spiel, außer Zirpeise, erhalten +40 KP. Du kannst immer nur jeweils 1 Fähigkeit Schwellender Gesang einsetzen.;GC;Schlitzer ;Slash;50;;;;;;;Feuer;;1;ASR;10;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_010_R_DE_LG.png
