Name;Name EN;Kartentyp;Typ;KP;Entwickelt sich aus;Fähigkeit;Fähigkeit Text;Angriff 1 Kosten;Angriff 1 Name;Angriff 1 Name EN;Angriff 1 Schaden;Effekt 1;Angriff 2 Kosten;Angriff 2 Name;Angriff 2 Name EN;Angriff 2 Schaden;Effekt 2;Schwäche;Resistenz;Rückzug;Set;#;Regulation;Set Name;URL
_____s Pikachu;_____'s Pikachu;Pokemon Basis;Elektro;50;;;;LL;Geburtstagsüberraschung ;Birthday Surprise;30+;"Wenn heute nicht dein Geburtstag ist, fügt dieser Angriff 30 Schadenspunkte zu. Wenn du heute Geburtstag hast, wirf eine Münze. Bei â€žKopfâ€œ fügt dieser Angriff 30 Schadenspunkte plus 50 weitere Schadenspunkte zu; bei â€žZahlâ€œ fügt dieser Angriff 30 Schadenspunkte zu.";;;;;;Kampf;keine;1;CEL;CC8;Mehr Formate;Celebrations (CEL);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/CEL/CEL_CC8_R_DE_LG.png
Aalabyss;Huntail;Pokemon Phase 1;Wasser;110; Perlu;Fokussierter-Angriff-Störer;Die Kosten der Attacken der Fokussierter-Angriff-Pokemon deines Gegners erhöhen sich um [C].;WCC;Riesiger Biss ;Cavernous Chomp;80;;;;;;;Elektro;keine;1;FST;66;E;Fusionsangriff (FST);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/FST/FST_066_R_DE_LG.png
Abra;Abra;Pokemon Basis;Psycho;40;;Teleporter;Einmal während deines Zuges, wenn dieses Pokemon in der Aktiven Position ist, kannst du es und alle angelegten Karten in dein Deck mischen.;P;Strahl ;Beam;10;;;;;;;Finsternis;Kampf;1;TWM;80;H;Maskerade im Zwielicht (TWM);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/TWM/TWM_080_R_DE_LG.png
Abra;Abra;Pokemon Basis;Psycho;50;;;;P;Psychoschuss ;Psyshot;20;;;;;;;Finsternis;Kampf;1;MEW;63;G;Pokemon 151 (MEW);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/MEW/MEW_063_R_DE_LG.png
Abra;Abra;Pokemon Basis;Psycho;50;;;;P;Psychoschuss ;Psyshot;20;;;;;;;Finsternis;Kampf;1;PAF;148;G;Paldeas Schicksale (PAF);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/PAF/PAF_148_R_DE_LG.png
Abschiedsglocke;Farewell Bell;Trainer - Ausrüstung;;;;;Wenn das Pokemon-VMAX, an das diese Karte angelegt ist, durch Schaden einer Attacke der Pokemon deines Gegners kampfunfähig wird, durchsuche dein Deck nach 1 Karte und nimm sie auf deine Hand. Mische anschließend dein Deck.;;;;;;;;;;;Kampf;keine;2;FST;234;E;Fusionsangriff (FST);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/FST/FST_234_R_DE_LG.png
Absol;Absol;Pokemon Basis;Finsternis;100;;;;D;Wirbelndes Desaster;Swirling Disaster;;Diese Attacke fügt jedem Pokemon deines Gegners 10 Schadenspunkte zu. (Wende Schwäche und Resistenz bei Pokemon auf der Bank nicht an.);DC;Klauenreißer ;Claw Rend;50+;Wenn auf dem Aktiven Pokemon deines Gegners mindestens 1 Schadensmarke liegt, fügt diese Attacke 70 Schadenspunkte mehr zu.;Pflanze;keine;1;ASR;97;F;Astralglanz (ASR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/ASR/ASR_097_R_DE_LG.png
Absol;Absol;Pokemon Basis;Finsternis;100;;;;D;Schlitzer ;Slash;30;;DCC;Nirgendwo-Klaue ;Lost Claw;70;Lege 1 zufällige Karte aus der Hand deines Gegners ins Nirgendwo.;Pflanze;keine;1;CRZ;76;F;Zenit der Könige (CRZ);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/CRZ/CRZ_076_R_DE_LG.png
Absol;Absol;Pokemon Basis;Finsternis;100;;;;D;Wirbelndes Desaster;Swirling Disaster;;Diese Attacke fügt jedem Pokemon deines Gegners 10 Schadenspunkte zu. (Wende Schwäche und Resistenz bei Pokemon auf der Bank nicht an.);DC;Klauenreißer ;Claw Rend;50+;Wenn auf dem Aktiven Pokemon deines Gegners mindestens 1 Schadensmarke liegt, fügt diese Attacke 70 Schadenspunkte mehr zu.;Pflanze;keine;1;CRZ;GG16;F;Zenit der Könige (CRZ);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/CRZ/CRZ_GG16_R_DE_LG.png
Absol;Absol;Pokemon Basis;Finsternis;100;;;;CC;Wegzerren;Drag Off;;Tausche 1 Pokemon auf der Bank deines Gegners gegen sein Aktives Pokemon aus. Diese Attacke fügt dem neuen Aktiven Pokemon 30 Schadenspunkte zu.;DCC;Schlitzer ;Slash;80;;Pflanze;keine;1;FST;164;E;Fusionsangriff (FST);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/FST/FST_164_R_DE_LG.png
Absol;Absol;Pokemon Basis;Finsternis;100;;;;C;Bewusstes Ziehen;Drawareness;;Du kannst beliebig viele Karten aus deiner Hand auf deinen Ablagestapel legen, bis du 4 oder weniger hast. Ziehe so lange Karten, bis du 5 Karten auf deiner Hand hast.;CC;Verstärkte Klinge ;Enhanced Blade;20+;Wenn an dieses Pokemon 1 Pokemon-Ausrüstung angelegt ist, fügt diese Attacke 60 Schadenspunkte mehr zu.;Pflanze;keine;1;PAR;113;G;Paradoxrift (PAR);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/PAR/PAR_113_R_DE_LG.png
Absol;Absol;Pokemon Basis;Finsternis;110;;;;C;Einfallende Finsternis ;Darkfall;20+;Wenn du mindestens 3 [D]-Energien im Spiel hast, fügt diese Attacke 50 Schadenspunkte mehr zu.;;;;;;Pflanze;keine;1;SFA;30;H;Nebel der Sagen (SFA);https://limitlesstcg.nyc3.digitaloceanspaces.com/tpci/SFA/SFA_030_R_DE_LG.png
